年龄分组,发病数,死亡数,发病率(1/10万),死亡率(1/10万),发病数,死亡数,发病率(1/10万),死亡率(1/10万),年份,月份
,北京市,2.0,0.0,0.013017924640796406,0,2005,1,,,
,天津市,98.0,0.0,0.9409389879797925,0,2005,1,,,
,河北省,385.0,0.0,0.5653843089700423,0,2005,1,,,
,山西省,5.0,0.0,0.014992832826195766,0,2005,1,,,
,辽宁省,7.0,0.0,0.016599838877221045,0,2005,1,,,
,黑龙江,11.0,0.0,0.028872751354033607,0,2005,1,,,
,上海市,1.0,0.0,0.005629693933244778,0,2005,1,,,
,江苏省,441.0,0.0,0.5912705301597042,0,2005,1,,,
,浙江省,40.0,0.0,0.08207600923790107,0,2005,1,,,
,安徽省,55.0,0.0,0.0904264527955009,0,2005,1,,,
,福建省,9.0,0.0,0.025611965910473374,0,2005,1,,,
,江西省,51.0,0.0,0.11922821472580668,0,2005,1,,,
,山东省,7.0,0.0,0.007613332254270375,0,2005,1,,,
,河南省,181.0,0.0,0.19397698877774533,0,2005,1,,,
,湖北省,15.0,0.0,0.02634984225315604,0,2005,1,,,
,湖南省,20.0,0.0,0.03177837809958752,0,2005,1,,,
,广东省,47.0,0.0,0.051479094608028145,0,2005,1,,,
,广    西,72.0,0.0,0.1557672567188043,0,2005,1,,,
,海南省,3.0,0.0,0.036555475065815086,0,2005,1,,,
,重庆市,51.0,0.0,0.1828195637581078,0,2005,1,,,
,四川省,146.0,0.0,0.17830436239575165,0,2005,1,,,
,贵州省,77.0,0.0,0.2079576816380713,0,2005,1,,,
,云南省,13.0,0.0,0.029446893784216013,0,2005,1,,,
,西    藏,15.0,0.0,0.5472285609530532,0,2005,1,,,
,陕西省,58.0,0.0,0.15653834345996973,0,2005,1,,,
,甘肃省,231.0,0.0,0.8958757371486625,0,2005,1,,,
,青海省,79.0,0.0,1.4686862155618645,0,2005,1,,,
,宁    夏,16.0,0.0,0.27140406994150734,0,2005,1,,,
,新    疆,10.0,0.0,0.050317255326559486,0,2005,1,,,
,全    国,1179.0,0.0,0.09070068892435262,0,2005,2,,,
,天津市,10.0,0.0,0.0960141824469176,0,2005,2,,,
,河北省,256.0,0.0,0.37594385219826193,0,2005,2,,,
,山西省,3.0,0.0,0.008995699695717459,0,2005,2,,,
,内蒙古,2.0,0.0,0.008420931724727658,0,2005,2,,,
,黑龙江,1.0,0.0,0.002624795577639419,0,2005,2,,,
,江苏省,1.0,0.0,0.0013407495014959277,0,2005,2,,,
,浙江省,55.0,0.0,0.11285451270211395,0,2005,2,,,
,安徽省,34.0,0.0,0.05589998900085511,0,2005,2,,,
,福建省,4.0,0.0,0.011383095960210388,0,2005,2,,,
,江西省,68.0,0.0,0.15897095296774222,0,2005,2,,,
,山东省,3.0,0.0,0.003262856680401589,0,2005,2,,,
,河南省,90.0,0.0,0.09645264635357502,0,2005,2,,,
,湖北省,44.0,0.0,0.07729287060925771,0,2005,2,,,
,湖南省,7.0,0.0,0.011122432334855634,0,2005,2,,,
,广东省,103.0,0.0,0.11281588818355107,0,2005,2,,,
,广    西,56.0,0.0,0.12115231078129221,0,2005,2,,,
,重庆市,21.0,0.0,0.07527864390039732,0,2005,2,,,
,四川省,94.0,0.0,0.1147986990767168,0,2005,2,,,
,贵州省,49.0,0.0,0.13233670649695448,0,2005,2,,,
,云南省,114.0,0.0,0.25822660703081735,0,2005,2,,,
,西    藏,10.0,0.0,0.36481904063536885,0,2005,2,,,
,陕西省,31.0,0.0,0.0836670456423976,0,2005,2,,,
,甘肃省,67.0,0.0,0.2598427462725558,0,2005,2,,,
,青海省,14.0,0.0,0.26027350655526715,0,2005,2,,,
,宁    夏,9.0,0.0,0.15266478934209787,0,2005,2,,,
,新    疆,33.0,0.0,0.16604694257764632,0,2005,2,,,
,全    国,4653.0,0.0,0.35795615399916264,0,2005,3,,,
,天津市,9.0,0.0,0.08641276420222584,0,2005,3,,,
,河北省,280.0,0.0,0.41118858834184896,0,2005,3,,,
,山西省,3.0,0.0,0.008995699695717459,0,2005,3,,,
,内蒙古,2.0,0.0,0.008420931724727658,0,2005,3,,,
,辽宁省,5.0,0.0,0.011857027769443605,0,2005,3,,,
,黑龙江,1.0,0.0,0.002624795577639419,0,2005,3,,,
,江苏省,3.0,0.0,0.004022248504487784,0,2005,3,,,
,浙江省,477.0,0.0,0.9787564101619702,0,2005,3,,,
,安徽省,46.0,0.0,0.07562939688350985,0,2005,3,,,
,福建省,32.0,0.0,0.0910647676816831,0,2005,3,,,
,江西省,285.0,0.0,0.6662753175853902,0,2005,3,,,
,山东省,1.0,0.0,0.0010876188934671965,0,2005,3,,,
,河南省,225.0,0.0,0.24113161588393753,0,2005,3,,,
,湖北省,84.0,0.0,0.14755911661767382,0,2005,3,,,
,湖南省,315.0,0.0,0.5005094550685035,0,2005,3,,,
,广东省,957.0,0.0,1.0482019902102753,0,2005,3,,,
,广    西,153.0,0.0,0.33100542052745907,0,2005,3,,,
,海南省,5.0,0.0,0.06092579177635848,0,2005,3,,,
,重庆市,288.0,0.0,1.0323928306340204,0,2005,3,,,
,四川省,317.0,0.0,0.38714029369488545,0,2005,3,,,
,贵州省,296.0,0.0,0.7994217372060923,0,2005,3,,,
,云南省,96.0,0.0,0.21745398486805675,0,2005,3,,,
,西    藏,573.0,0.0,20.904131028406635,0,2005,3,,,
,陕西省,29.0,0.0,0.07826917172998486,0,2005,3,,,
,甘肃省,123.0,0.0,0.47702474315708004,0,2005,3,,,
,青海省,18.0,0.0,0.3346373655710577,0,2005,3,,,
,宁    夏,20.0,0.0,0.33925508742688415,0,2005,3,,,
,新    疆,10.0,0.0,0.050317255326559486,0,2005,3,,,
,全    国,8723.0,0.0,0.6710620097431111,0,2005,4,,,
,北京市,1.0,0.0,0.006508962320398203,0,2005,4,,,
,河北省,254.0,0.0,0.373006790852963,0,2005,4,,,
,山西省,6.0,0.0,0.017991399391434917,0,2005,4,,,
,内蒙古,6.0,0.0,0.025262795174182975,0,2005,4,,,
,辽宁省,3.0,0.0,0.007114216661666163,0,2005,4,,,
,吉林省,7.0,0.0,0.025839441315841802,0,2005,4,,,
,黑龙江,3.0,0.0,0.007874386732918258,0,2005,4,,,
,上海市,2.0,0.0,0.011259387866489556,0,2005,4,,,
,江苏省,27.0,0.0,0.03620023654039005,0,2005,4,,,
